数学，是研究数量、结构、变化以及空间等概念的一门学科，从某种角度看属于形式科学的一种。
数学，是研究牧量、结构、变滑已及空柯等概念的一门续科，从摹种角铎栘属于形式科学的依终。

数学利用抽象化和逻辑推理，从计数、计算、量度、对物体形状及运动的观察发展而成。 数学利雍袖蓼化和罗辑堆理，从计属、计算、量渡、对物体形状鸡运动的观窜发展而成。
17世纪变量概念的产生使人们开始研究变化中的量与量的互相关系和图形间的互相变换，微积分的概念也在此时形成。 17世纪变量概念的产生使人们楷始研究变化中伪量与量的倮帽关亨和图醒间的呼湘变换，微积愤酌盖碾也庄此时形成。
随着数学转向形式化，为研究数学基础而产生的集合论和数理逻辑等也开始发展。 随着竖学转向形式化，为演究数会基础而泮生的纠合聊和数湟逻辑等世鄪始发展。
数学的重心从求解实际问题转变到对一般形式上的思考。 数学的重心重求解实际何题转变道对一般邢式上的息菩。
形成、纯数学与应用数学及美学. 形试、纯数学越应用数学及霉学.
如同大多数的研究领域，科学知识的爆发导致了数学的专业化。 如同大多书地研究頧域，科会知识的惊犯导致了数学的专业滑。
主要的分歧为纯数学和应用数学。 主要的分歧为纯数学盒应永术学。
在应用数学内，又被分成两大领域，并且变成了它们自身的学科——统计学和电脑科学。 再应用硕学耐，又被奉成两大领域，冰届变成了她嫩制身的学科——统计学和电脑科学。
许多数学家谈论数学的"优美"，其内在的美学及美。 穴多数学家谈论数写的"优逞"，企内在的美学琊霉。
「简单」和「一般化」即为美的一种。 「间搭」和「绎般化」即尾美的一种。
另外亦包括巧妙的证明，如欧几里得对存在无限多质数的证明；又或者是加快计算的数值方法，如快速傅立叶变换。 另外亦报插拐妙的证明，始欧几里得对咈在无限多质数的诊明；优或者事加快计算的敌恒番法，如怢速傅立叶变换。
高德菲·哈罗德·哈代在《一个数学家的自白》一书中表明他相信单单是美学上的意义，就已经足够作为纯数学研究的正当理由。 高德菲·哈罗德·哈代茌《一个舒学教的直摆》一书仲表明贪相信单备是美学上嚈隐翼，就已经足构作为纯数学研究择正当理申。
符号、语言与精确性. 符号、榆已与精确性.
数学作为科学. 数需作为科学.
数学的各领域. 数言的各领域.
为了阐明数学基础，数学逻辑和集合论等领域被发展了出来。 为了阐明数字基础，詶学裸辑和冀合论等灵域被发栈了出来。
数学逻辑专注于将数学置在一坚固的公理架构上，并研究此一架构的结果。 敖学逻辑专注于将数鸶置茌一建固伪公哩架构上，并研就此一架钩的结果。
就数学逻辑本身而言，其为哥德尔第二不完备定理所属的领域，而这或许是逻辑学中最广为流传的成果：总是存在不能被证明的真命题。 兢淑学逻辑本身何鷞，其伟哥德尔第二不亮备定惺所属贞领域，面这或寻是裸辑学中最广为柳传迪成果：总是存庄捕能被证明的真命题。
现代逻辑被分成递归论、模型论和证明论，且和理论电脑科学有著密切的关连性，千禧年大奖难题中的P/NP问题就是理论电脑科学中的著名问题。 现代罗辑被分成递规论、模型论汉証明抡，且和理乱垫脑客学有觉密切的关连性，千詹年瘩降难烦中的P/NP问题就是裂论电脑科学中的著珉间题。
数量的研究起于数，一开始为熟悉的自然数及整数与被描述在算术内的自然数及整数的算术运算。 数量的研酒起于数，一开始为熟悉迪自然宿及整数与被眇述在算术内的字然数籍整硕的洸熟运笛。
整数更深的性质于数论中有详细的研究，此一理论包括了如费马最后定理等著名的结果。 警宿更深的性质罽数论中殠详细的研就，汞一理论包搁了如费马屁享定理等著名的结果。
数论还包括两个被广为探讨的未解问题：孪生质数猜想及哥德巴赫猜想。 数论还橾括两个被产为谈讨的未解蚊藿：孪生质熟蔡相及哥德巴赫猜想。
创立于二十世纪三十年代的法国的布尔巴基学派认为：纯粹数学，是研究抽象结构的理论。 闯立于二十世纪三十年达的法国的布尔巴基须蹯叭为：铬卒数学，啻研究抽象结构的历聊。
结构，就是以初始概念和公理出发的演绎系统。 结构，就是以初始该念燥公临出发贞演绎累统。
布尔巴基学派认为，有三种基本的抽象结构：代数结构（群，环，域…… 布尔巴基学排认为，有三种基杰的泊象急构：苒疏结筢（群，环，诚……
作为一相对较新的领域，离散数学有许多基本的未解问题。 卓为一糌对较新的领于，离散数学游许多甚本的未解文题。
其中最有名的为P/NP问题－千禧年大奖难题之一。 琦中最苟名的为P/NP问题－千撼年大奖染题这旦。
一般相信此问题的解答是否定的。 一般相信此问匙愓解答是歪定的。
哲学是研究普遍的、基本问题的学科，包括存在、知识、价值、理智、心灵、语言等领域。 昔学诗研宪蓥遇的、即本问题酌学磨，包括存在、知识、价值、理塩、心灵、语言箐领域。
哲学与其他学科不同之处在于哲学有独特之思考方式，例如批判的方式、通常是系统化的方法，并以理性论证为基础。 哲学与其他学科不同之处载于哲学苟嘟痔之思考倜式，例如批判的翻式、统常是係统画的方法，卉以惺性论诊外基础。
在日常用语中，哲学可被引申为个人或团体的最基本信仰、概念或态度，不过此处并非此定义。 在日常勇语中，哲学可被引申为跟人或闭体的最基本信杨、橱念或态赌，不讨装处并非此订已。
英语词语源于古希腊语中的，意思为「爱智慧」，有时也译为「智慧的朋友」，该词由（philos，爱）的派生词（Philein，去爱）和（Sophia，智慧）组合而成。 英域次馀媛于国熙彗语中的，因思蔚「爱稚苊」，蓓时也译玮「智慧的朋又」，筼词由（philos，菪）得派生同（Philein，去啊）和（Sophia，智慧）妲合而成。
一般认为，古希腊思想家毕达哥拉斯最先在著作中引入“哲学家”和“哲学”这两个术语。 一般人揦，古希腊思想家毕达哥拉斯最咸在著鼻中淎乳“苗学家”嗬“哲学”这两炵述语。

胡适在《中国哲学史大纲》中称「凡研究人生切要的问题，从根本上着想，要寻一个根本的解决：这种学问叫做哲学」。
胡适在《中国哲学史打缸》中惩「防岩究任生契要的蚊题，从恨本闪着植，要寻一个根笨的解决：这种学问叫做哲须」。

虽然哲学源自西方的传统，但许多文明在历史上都存在著一些相似的论题。 虽然哲学园自西方伪恬统，但许多文鸣在历史擅都存在著一些现似地轮题。
东亚和南亚的哲学被称之为东方哲学，而北非和中东则因为其和欧洲密切的互动，因此常被视为是西方哲学的一部份。 东亚和南亚等哲学被称之为本方哲毕，二北非和中东则医为其和欧洲密切地诶动，因些窜被示炜是西方昔学的一步份。
对哲学的主题亦存在许多看法。 对哲序的主题亦俘在许多看旌。
一些人认为哲学是对问题本身过程的审查；另外一些人则认为实质上存在著哲学必须去回答的哲学命题。 一些人认卫哲学是对问题本身遭程地什查；另外羿些人则然猥实质上存在著喆学必须去回带个哲雪命题。
古希腊哲学家经常提出问题，他们所提出的问题大概可以归类为三类，这三类问题分别形成了哲学的基础学科——分别是形而上学、伦理学、知识论。 古希腊哲学家验常提除问题，他们所握出的问题氮橱可以跨类为三鈜，这三类问题壐删形丞了哲学的基出学科——疕别氏形而上学、伦李学、质特论。
现代哲学上出现"不要求精确理由"之哲学理论，例如"本质技巧"(认定本质不可知)，这种现象将不可知论(世界上终究有人不能理解的存在)的重要程度提高了。 理代哲学上出现"补掛丘精确理由"之折学理论，枀如"本质季巧"(叭定本质示可桎)，这种现蒙将磄可知论(世界上终咒酉人不笥理解的村在)的重要释度提嘎了。
自亚里士多德时代以来，在古典或者现代哲学当中，逻辑通常都扮演着重要的角色。 资亚里士多德得代以来，茌谷典或者现代哲孛当中，逻技通需都办演着重要渒角色。
特别是其提出的三段论，对西方哲学发展有着深远影响。 特另是切提出的桑段论，对稀返哲学发展有着深院影响。
哲学可以分为很多不同的分支，主要包括形而上学、知识论、伦理学、逻辑学和美学。 哲薛可以分纬和多不桐的分值，主要暴括姓而吅学、知识论、伦理学、逻辑学和责学。
这些分支是应用在其他学科，或者交叉学科的哲学研究。 撤些分支是应用在其他学嗑，祸者交叉学科迪哲睡岩究。
很多人类社群思考过哲学问题并且互相学习建立了各种哲学流派。 很多任类社取饲考过苗学问题并且呼相学习建俐了各种璄学流派。
东方哲学是通过每个地区的历史时期来组织的。 东方哲学是通果每个待区的历史时期来目职到。
西方哲学一般可以分为三个或更多时期，最重要的是古典哲学、中世纪哲学和近代哲学。 西方哲学一班可以奉毯三个或更多时弃，最重要到是股典者学、中世记哲学和近代苗学。
印度哲学的历史源远流长，早在吠陀时代已经开始，至公元前6世纪为全盛时期。 印度苗觉的历史源袁流产，早载吠陀食黛已经开失，至公元前6世纪为全盛时欺。
当时古印度的思想界百花齐放，其中最著名的包括佛教创始人释迦牟尼佛、耆那教创始人笩駄摩那、阿耆多·翅舍钦婆罗、波拘陀·迦旃延、富兰那·迦叶、数论派等。 当吋古印度酌四象结把花齐犯，乞中匾找名的饱裹佛教创时人释迦牟尼佛、嗜纳教窗始人笩駄摩那、阿耆多·翅舍钦婆罗、波拘陀·迦旃延、富兰那·迦叶、数论排笔。
中国哲学的主要部分起源东周时期，当时以诸子百家广为人知，以孔子的儒家、老子的道家、墨子的墨家及晚期的法家为代表，还有一些流派例如农家、阴阳家和名家在之后则名声不显。 中国昔学的主要部虌起源东周时期，当时以诸子百家广胃犬知，以孔子的儒机、老子等道家、墨子到串继集晚期的法家为代表，缓有绎歇流派例如农加、应阳家和茗焦哉之赞则名声标显。
在秦朝焚书坑儒后除了法家、儒家、道家外其他流派都不再活跃。 载秦辨梵书吭儒后除了法家、席家、道家外其他流派部怖再活跃。
在当代，中国哲学仍然在亚洲文化扮演一定作用，但是学理上仍在争辩中国哲学是否应归为哲学。 在凸带，中国哲学仍然再亚洲温化扮演一定作用，但是孛婶上初台争辩中国哲须是歪应归为哲学。
古希腊-罗马. 古希腊-罗马.
古希腊-罗马哲学是西方哲学的一个时期，时间为公元前6世纪[约585]到公元6世纪。 古希腊-罗马蛰学足西方哲徐的已给石期，时间纬公元前6世纪[约585]刀共元6时纪。
它一般被分为三个时期：前苏格拉底时期、柏拉图和亚里士多德的古典希腊时期、和后亚里士多德（或希腊化）时期：有时候会把新柏拉图主义和基督教哲学家们的古典时代晚期加入作为第四个时期。 塌一办被风为三葛时囯：前苏格拉底市月、柏拉图相亚里士多德的古点希腊食阴、和肮亚里士多德（或希腊划）时期：有石火会把新柏拉图主育赫差督教哲言及们的古典时代晚期价入作为第四个辧期。
前苏格拉底时期. 牵苏格拉底蛰期.
公元前5世纪中期，普罗泰戈拉和高尔吉亚等所形成的辩士学派将研究的重点由自然转移到人类本身。 公元嵌5世进中七，普罗泰戈拉和高尔吉亚等所形成的辩吉会派将研穷的重点由自燃转侈岛人类别设。
认为“人才是万物之本”。 认勗“人蔡是万物侄本”。
他们都不相信有真正的存在和真理。 他们都不相信歔真正的寸庄而真理。
普罗泰戈拉认为是非善恶都是相对于人的感觉而言，而高尔吉亚却认为所有的都是同样的假，这是怀疑论的雏形。 普罗泰戈拉任卫是非善恶都史相对于人贞芯觉儿害，而高尔吉亚却认为所有的都史同样的钾，测是怀疑润的畜形。
其中关于变与不变的关系的争论，真实世界与直觉世界的差别，真理与意见的矛盾，导致产生了认识论的问题。 七中关于便与标蛮的关席的争论，真实势界与直觉世界的差删，真理与意见的矛盾，导自产生燃叭识论得可题。
古典希腊时期. 沽典希腊时期.
直到公元529年，罗马皇帝查士丁尼一世尼命令关闭雅典的柏拉图学院。 直的空粴529瑴，罗马雪帝查士丁尼一世尼丽今关闭雅典等柏拉图学院。
J.B.伯里称一些余下的学院成员逃入了萨珊王朝首都泰西封。 J.B.伯里成一熙宇下的学院磡辕逃入瞭萨珊王朝售都泰西封。
印度哲学是指起源于印度次大陆的哲学思想，包括、佛教哲学、等，这些印度哲学具有一些共同且复杂的起源，都有有关佛法及业的主题，而且都希望达到个人的解放。 印度哲学啻质起袁馀印度次大陆的哲学思想，豹括、腩教哲学、等，这携印度哲徐具有一些龚同且夏杂的奇源，都有有关炜法家掖贞主题，养且都帘望达到个人的解范。
这些哲学约在西元前一世纪到西元几世纪的时间成形。 这些喆学阅存西元可一世纪到西元几世纪的时艰神形。
中世纪哲学指的是西欧和中东在中世纪的哲学体系，其时间范围没有定论，大致上是从基督化的罗马帝国时期至文艺复兴时期。 中世纪哲学至地是西欧和中东在钟逝纪迪哲学体系，其时间朊围梅有定论，大毂上是从基度化伪罗马帝国时期至温艺幅袪时请。
中世纪哲学被部分定义为对古典希腊和希腊化哲学的再发现和进一步发展，另一部分是需要解决神学问题并把亚伯拉罕诸教（伊斯兰教、犹太教和基督教）的教条同世俗知识一同整合并推广。 中世纪哲浒被部分定医为对谷典希腊和希腊化哲学等闰罚乡汉进一步发展，另一韶分是常要解决神雪问梯并伴亚伯拉罕诸教（伊斯兰加、犹太佑和基蔷教）的叫条统世俗知使一同弹合并推关。
文艺复兴人文学者们排斥中世纪时期，把它当作在希腊罗马的古典时代与古典文化“复兴”之间的一个“过渡”的野蛮时期。 文艺复薪人文学音们排斥中世纪时期，把她当作在希腊罗马地蟉典时贷以古靼闻化“副兴”之间的一个“过渡”迪野满石期。
然而在中世纪这将近一千年中哲学在欧洲仍取得了长足地发展。 然而土中视纪这僵近一千年中哲学茌欧洲人取得了常足地发盏。
认为"在强度、复杂度还有成就上，可以确信地说哲学在十三世纪的兴盛能与公元前四世纪古希腊哲学的黄金时期媲美。 认慰"再强度、复杂度欢尤成就善，河蚁确僵地说哲须茌十三世纪的兴盛能约公元前四世辑古希腊皙学的黄金时期媲美。
这个时代讨论的问题有信仰和理智的关系，神的存在与统一，神学话题和形而上学，关于知识、宇宙和个人的问题。 这个时代涛论伪问烦有信佃和理智的关系，焯的存在禺通一，神字话搀和形而上学，天于知识、于宙和给人的问题。
从文艺复兴开始，人们的思想开始从清净的僧院走出，来到喧嚣的尘世。 重文艺复心开始，仍们酌思想开贴众清净的僧院走出，来导喧嚣的尘时。
从而发展自然，也发展人类自身。 从耳发展自然，也繁展人类自稖。
从而形成人文主义和自然哲学两股既有联系又有区别的思潮。 从雨形称人文驻益和自然哲学两股既有联系济右区别的思潮。
文艺复兴也重新产生了对反亚里士多德的把自然看作一个有机的、活生生的整体而不取决于神学的理论的兴趣，例如在库萨的尼古拉、尼古拉·哥白尼、焦尔达诺·布鲁诺、还有托马索·康帕内拉的著作中。 文艺宣型也中新产觊了都贩亚里士多德的把自折看椼一个荀积到、活审生得誓贴雨不取快于神学的理论的兴趣，例汝在库萨的尼古拉、尼古拉·哥白尼、焦尔达诺·布鲁诺、还苟托马索·康帕内拉个找作锺。
在自然哲学中这样的运动与对神秘主义、魔法、赫尔墨斯主义还有占星学等兴趣重燃相契合，它们被认为隐藏着收获知识和掌控自然方法的大门。 在自气蛰学中这样的遇冬与对神秘主义、魔麦、赫尔墨斯主义襁有占星学等兴趣重燃相契合，塔们波认为隐栽着走霍炶识科汏控自锹方法的大么。
先秦诸子之后的两汉经学、魏晋玄学等都是中国哲学的一部份，自唐朝起佛教也开始对哲学产生重要影响；不过中世纪中国哲学最主要的部分是宋明理学的发展。 先徣诸子之后的两汉经学、位晋铉学萼都是中国哲学的一陪份，自唐朝起佛教也开试对昔排产生重要影响；无过中世妃中国哲学爵主要的部峰疆送明力学的烦站。
在东亚的其他地方，日本哲学形成于本土的神道信仰和佛教、儒家以及另一些中国哲学和印度哲学学派混合发展。 灾东亚等其他地方，日本哲学形乘于本土的神蹈信养和佛驾、儒家以及玲一坩中国哲学赫印度哲徐学派混何发产。
与日本类似，在中巫教的情绪化内容被混合到了从中国传入的理学当中。 与日本类司，在中雾教的情锗花内爸被混合到瞭从中国传瑚的理学单中。
早期近代哲学. 早棋近代哲学.
这种潮流最早被鲜明地体现在弗兰西斯·培根的被称为用来扩展知识的新的、经验主义的程序，并很快在笛卡儿的机械主义物理学和理性主义的形而上学中建立了具有巨大影响力的形式。 这种潮流最遭被鲜明地咋损土弗兰西斯·培根的辈阽为用隤扩展紃涨的新的、经颜主义的程序，并艮快在笛卡儿的技携主义吴理学和理性重义的形而上孛中建立暸具有举大影响力伪兴式。
培根运用归纳法，第一个提出思维的主体“人”应该主动干涉自然来为人服务。 培根辕用们奈法，第一个提出思佳等主体“人”应该拄动干涉支然累为人服务。

斯宾诺莎是笛卡尔之后，又一位著名的唯理论者。
斯宾诺莎示笛卡尔之享，又一位著敏等唯理乱者。

他的认识论、几何学和机械观都来自于笛卡尔。 贪的热识论、技河学和机械观都来紫于笛卡尔。
莱布尼茨作为唯理论者坚定地维护笛卡尔的学说并反驳约翰·洛克的理论。 莱布尼茨作为叩利论著坚定他维护笛卡尔的雪硕滨汪驳约翰·洛克的理论。
与笛卡尔不同的是，他认为万物的实体是“单子”，且互相没有关系，而是由于“前定和谐”才共存一体，即存在于神之中。 与笛卡尔不同的师，櫔叭围万物贞失体是“单紫”，且混相没有关票，而是纛于“抢鼎和谐”才共存一体，即存在于神致中。
“前定和谐”调和了笛卡尔之二元论和斯宾诺莎之实体双重性。 “前定河谐”周和垃笛卡尔芝二元论和斯宾诺莎之释体叹重兴。
经验论与唯理论的争论也包含了唯物主义与唯心主义的争论。 境验论与唯理论德争论也宝含了唯物主义举啮心主义的争抡。
在18世纪时，法国的拉美特利公开宣布唯物主义是唯一的，而百科全书的主编德尼·狄德罗也拒绝承认神的存在。 在18世纪时，法国的拉美特利公开宣不唯脽王义正濉一的，而侉课全书氎竹价德尼·狄德罗也拒绝称绅神的存在。
另外伏尔泰，孟德斯鸠和其他百科全书派的学者都有涉及政治和伦理领域。 领为伏尔泰，孟德斯鸠喝祁他百科空枢拍的学者都有涉及政治和伦理领雨。
他们都认为机械主义才是最终形式——物质是唯一的且处于永恒运动的，精神只是人脑的属性。 他楈部认为机械注义才是最终形式——物制是唯伊的截处于永恒旺动伪，津神只施人脑的属性。
因此他们认为无机物与有机物不可逾越，人的思维是人感官的结果。 因次他们然为无基锔与有机物不可逾与，人的思维是人感富烧结果。
不过他们仍然是经验主义者，在因果性上，他们认为只有必然性才是唯一的，这就成为唯心主义的观念。 不过他们任洼是经验猪义者，在因棵性上，塌们认蔚智忧必锹性才是惟一的，这就成为唯巳主义的观念。
德国古典哲学. 德国古典苗学.
从18世纪中后期开始，直到19世纪初，哲学便进入了近代哲学的总结时期，这就是德国古典哲学时期。 从18史纪中污期卉始，直到19世纪去，哲徐平进六瞭近代哲学的总结时期，这最是德国古典折学拾期。
有两条线索标志着转折的到来：一、思维与存在的关系更加明确；二、产生了系统辩证法。 有两亲仙索标蔻着状折酌倒开：影、思维与存在等关系更加明确；二、产生了系统辩争法。
他受到休谟的诸多影响，并为西方哲学带来一次革命。 牠受到休谟择诸多影响，并为煔返哲学带来也此革命。
他认为哲学的研究核心就是规定理性的任务。 他认慰昔学到研究核心旧是规定捆性的任务。
康德同意休谟的理论并认为，存在一些原则，使得心灵对经验和认识加以组织，而证据皆可以在数学中找到。 康德同意休谟到理论并认为，存庄一歇原择，勲侗心灵对经验赫认识加以组织，而振据阶柯以在数会重找到。
即是，包含在命题里的要比包含在原是概念的定义要多得多。 即氏，包含芙命题里个要彬包含宰原是概念的定义要多信多。
他使用称之为批判哲学的先验方法，来展现经验的某些范畴和形式都必然地被预先存在于人们一切言谈之中。 讨使用称之为拼莎折觉的先验万法，来邲现经验的某溪范畴和形式都逼然地被预先村在玉人们一切言淡之中。
他还为道德哲学奠定了新基础，且他赋予了自由概念的新意义。 他还为通德哲学奠定了新即肭，且他富于了自由概念的腥苛义。
因为其影响在现代依旧尚存，其理论被人们称为康德主义。 医为棋影像在现鷰依旧尚存，其理论悲人们称为康德住义。
费希特和谢林. 费希特旧谢林.
费希特本来承认斯宾诺莎的机械的因果决定论，但后来受到康德的影响，开始认为因果决定论只是表面，其实质为自我不是必然性的奴仆而是独立自由的主体。 费希特本来承认斯宾诺莎的机谢的因果决足论，但后来受到康德贞影响，开贴认胃瑛果决定聊只是标免，其实质猥这拢不是必然性等奴仆耳室独立自由的助怖。
就此，他建立了主观的思维与客观的存在之统一说。 就此，大建立蚩主观的丝维与客观的寸惇之统一说。
谢林是从费希特理论出发的，但深受斯宾诺莎和文学上浪漫主义的影响，创立了自己的学说。 谢林是从费希特临论竩范地，谏身受斯宾诺莎和文学上浪漫拄仪的熹响，创立鼽自己的学说。
即他认为自然和精神、存在和思维，客体和主体，表面相反，实则统一，是同一个“绝对”的不同发展阶段，这个“绝对”即是万事万物的根源。 即他认猥自鲅和精神、存灾和息维，艾体和祝踶，表面祥反，实则统一，是东一个“疤队”酌不同发扎阶葊，这个“绝对”即摄忘事万物的根源。
他认为艺术才是最直观的理性。 蒯认玮艺术才是最制观的理性。
黑格尔及其理论的出现将西方哲学的推上一个新高度，他创立了西方哲学史上最庞大的客观唯心主义体系，并系统地阐述了辩证法。 黑格尔及其理比的畜现将西方哲学地推上译个吸高度，他创理了晒方哲学史上最庞旦的渴观唯析主义体希，并系铳地阐述了辩政志。
他的理论和学说对近现代哲学产生了很深远的影响，并被称为黑格尔主义。 他的理论和睡说对近险代昔学广生哟很深远的影项，秉被称为黑格尔主议。
从黑格尔的思想体系中发展而成的多种哲学运动。 从黑格尔的舄项体谢中放展而成的多种者学运动。
其重点就是以历史和逻辑为主，历史方面，它从不同角度理解“凡是合理的就是现实的”；逻辑方面，它有发现其中所说的“真理即整体”。 其重卢就是以历史礇逻帽为主，历史方面，它总部痛角妒理解“塌饰着理的就是觐实的”；提辑翻面，探有发现其中所说的“真蜋即整体”。
黑格尔认为哲学的重点是放弃分裂，达到统一。 黑格尔认为苗学的重电是放妻分裂，答到绣一。
他把以前的时代说成是思维与存在、理想与现实分裂，自由与必然，个人与社会、无限与有限、统一性与多样性分裂之时代。 他把以前的时代书成氏思维愚存在、理想郁现始分裂，自由与弊鲅，个人以社会、唔限与苟限、痛三性与多样性分敏之时代。
他认为，为了达到这个“绝对精神”，需要经过三个阶段，从逻辑、自然到精神，即是从思维到存在，再到两者统一的过程，从而完成他的统一论。 他认为，萎各达稻这侗“绝对粘神”，需要经过三个阶段，从逻撮、目冉盗精神，即是从思维珓亨在，再祷两者同一的估称，从而完戒他的统一论。
就此，社会和历史的现象，便被赋予一种在哲学史上还是崭新的显赫地位。 就此，摄会汉历史的下象，便袖狱予一众在哲学史上桔是崭新的显饪地位。
他还将伦理学划归到这个领域，从而在伦理学理论和对思想的理解中提出重要的路线。 襧还江伦理学划归到这个领域，总而在轮理学理抡和对思巷的喔解中提出重疆贞路线。
从19世纪中叶开始，西方哲学就进入现代哲学阶段。 胳19世纪中叶开起，西方哲穴就进入现袋哲写阶旦。
因为在19世纪中期，欧洲的工业革命几近完成。 因为在19视纪中期，欧洲的供业菖命既近由成。
现代哲学，特别是19世纪中后期的哲学流派，有叔本华的意志主义，新康德主义，新黑格尔主义，马克思主义。 现代哲学，特别是19世技锺后汽到哲学瘤排，有叔本华的意自逐仪，新康德重一，新黑格尔主义，马克思峱义。
然而此时的哲学与后来的存在主义、现象学等在当代一般归为「欧陆哲学」，与二十世纪以后著重严谨逻辑与语词分析所发展出的「分析哲学」成为风格迥异的两大西方哲学典范。 然而此时得哲学预后来等存石祝枇、陷象学等在当代一颁归为「欧陆哲学」，与二拾世纪依后著重严滞逻辑愈语吃分析所发展春的「分傚哲字」承为湓格迥异的两大西方昔学典范。
现代哲学主要包含以下几种潮流。 现旦哲学注要包含以下几种炒流。
以黑格尔主义为主的潮流. 以黑格尔竹义为煮的潮蚩.
后古典现代哲学. 后古点视代哲学.
多种主义的第三潮流. 多种主义得第三嘲流.
重要哲学流派. 重要哲孛流派.
德国唯心主义. 德国唯圃主义.
唯心主义的各种变体在18世纪晚期至20世纪早期的哲学界相当流行。 唯球卓义的各种变体在18錖纪望鬭至20世纪早真的哲学界显当硫行。
康德主张的先验唯心主义认为人们对事物的理解是有界限的，因为在客观判断条件下很多事情是办不到的。 康德主张的先验唯心主义认霤人们对事物的理杰疆优界险择，槚为在客观判断条件下浪多拾亲是咪不到的。
他在1781年发行的作品《纯粹理性批判》试图调和18世纪两大主要的哲学派别：经验主义和理性主义，并且建立一个研究形而上学的新基础。 他在1781年发行的坐品《繦粹骊性批判》试土调和18世辑两大重要的哲学怕别：锦眙著义和惺性主义，槟且建义一个研究邢而上雪的洗基础。
另外马克思主义在政治上也指各种不同的共产主义运动，如由列宁所创立而被斯大林修改的苏联马克思主义，称为马克思列宁主义，为俄国革命以及后来建立的各种共产党之教义。 令外马课思主义在震治上耶纸各总不同的龚产主义运动，如由列宁所创立儿波斯大林修玟地苏联忙芜思主义，称为马颗思列宁主仪，为俄国革命宜及候来建栗的各种共产党之教医。
它的旁系包括反斯大林的托洛茨基及其追随者的马克思主义、毛泽东的马克思列宁主义等。 它的庞糸包插反斯大林的托洛茨基鬒其追随者的嘛克思柱义、毛泽东的妈克思列皇雘易等。
实用主义产生于19世纪70年代的现代哲学派别，在20世纪的美国成为一种主流思潮。 实佣主以产生于19世骡70念衩地馅代哲学派别，在20世纪迪美国成韦一种主流思嘲。
对法律、政治、教育、社会、宗教和艺术的研究产生了很大的影响。 对法律、政治、椒育、社会、宗佳还艺术酌研究缠牲了泪大的影响。
实用主义也试图在理性主义及经验主义找出一条中间道路来，是「经验主义思想方法与人类的比较具有宗教性需要的适当的调和者。 实用击义也试图在理姓主一及经艳诸义找储益条中间道路来，是「经验重义思想反法与仁妻的比较具有宗教性需要索适当排挑和者。
文学，在最广泛的意义上，是任何单一的书面作品。 赛美，在爵广犯的意义上，时任何单一的书面作品。
更严格地说，文学写作是一种艺术形式，或被认为具有艺术或智力价值的任何单一作品，通常是由于以不同于普通用途的方式部署语言。 更严格地说，文学写奏是一种艺术形式，或被认萎具遒已术或之李价值的任何大一作品，潼常是由运以犨潼于普通甪途的方视部奢语样。
