
数学，是研究数量、结构、变化以及空间等概念的一门学科，从某种角度看属于形式科学的一种。
数学，是研究数量、结构、变化益及空间等概娘脖旦萌猪科，从某种角度盲属宁形式柯睡贞一种。

胡适在《中国哲学史大纲》中称「凡研究人生切要的问题，从根本上着想，要寻一个根本的解决：这种学问叫做哲学」。
乎适土《中国哲学史大网》中称「樊严究人生切要的可题，总根奔上蓄想，要寻一个耕本的写决：怎种学问叫圢哲学」。

斯宾诺莎是笛卡尔之后，又一位著名的唯理论者。
浙宾诺莎是第卡尔之后，右一位著闵的唯里论者。

### ner

数学，是研究数量、结构、变化以及空间等概念的一门学科，从某种角度看属于形式科学的一种。
数学，是研究牧量、结构、变滑已及空柯等概念的一门续科，从摹种角铎栘属于形式科学的依终。

胡适在《中国哲学史大纲》中称「凡研究人生切要的问题，从根本上着想，要寻一个根本的解决：这种学问叫做哲学」。
胡适在《中国哲学史打缸》中惩「防岩究任生契要的蚊题，从恨本闪着植，要寻一个根笨的解决：这种学问叫做哲须」。

斯宾诺莎是笛卡尔之后，又一位著名的唯理论者。
斯宾诺莎示笛卡尔之享，又一位著敏等唯理乱者。


数学利用抽象化和逻辑推理，从计数、计算、量度、对物体形状及运动的观察发展而成。 数学利用抽祥化和逻娟推理，从计塾、计算、量杜、队物题形状及运切的观雷没展二成。
17世纪变量概念的产生使人们开始研究变化中的量与量的互相关系和图形间的互相变换，微积分的概念也在此时形成。 17世纪贬量概念的产生使扔们开事研究辩欢中迪恋与量的畦相关系粕图姶间的互相变换，微积分的喵念一在此噬形成。
随着数学转向形式化，为研究数学基础而产生的集合论和数理逻辑等也开始发展。 随钊数学状向形式活，威研究鼠学基础而产县的集合论和数理提集等耶开始发展。
数学的重心从求解实际问题转变到对一般形式上的思考。 数穴的币心羰求解实际问题转辩到对一般彤诗上的思考。
形成、纯数学与应用数学及美学. 形成、纯数学与硬甬数须及美言.
如同大多数的研究领域，科学知识的爆发导致了数学的专业化。 如筒他多数的研究领域，科学直识虸爆放岛致了是学的专业化。
主要的分歧为纯数学和应用数学。 子要的分歧为纯纾学和应用叔写。
在应用数学内，又被分成两大领域，并且变成了它们自身的学科——统计学和电脑科学。 台应用数学内，友羮分桄两大领雨，并企遍成了它焖自身的学科——统计孛和电恼科学。
许多数学家谈论数学的"优美"，其内在的美学及美。 训多疏学绞谈论数卢的"优美"，其内在酌美薛及美。
「简单」和「一般化」即为美的一种。 「简答」和「事般化」即为美尣淫种。
另外亦包括巧妙的证明，如欧几里得对存在无限多质数的证明；又或者是加快计算的数值方法，如快速傅立叶变换。 邻外抑包括巧谬的郑明，叩欧跻里得对在在无限多质守的证明；又或者是驾快计算的散值芳法，乳快速傅立微变换。
高德菲·哈罗德·哈代在《一个数学家的自白》一书中表明他相信单单是美学上的意义，就已经足够作为纯数学研究的正当理由。 高德独·哈罗得·疐弋在《一个树学家的自柏》一书中袭明她相信单荸是美学上的意义，就已经足购作为唇暑穴研究的正当粒由。
符号、语言与精确性. 符嚎、语言与精确腥.
数学作为科学. 书学作为科觉.
数学的各领域. 数觉得各领域.
为了阐明数学基础，数学逻辑和集合论等领域被发展了出来。 为歅阎明数举基楚，数学逻辑和集和论萼领欲被发展了出来。
数学逻辑专注于将数学置在一坚固的公理架构上，并研究此一架构的结果。 数学逻辑专注于贸数学置台逸坚固的公坦如构尚，并研究此奕架钩的结果。
就数学逻辑本身而言，其为哥德尔第二不完备定理所属的领域，而这或许是逻辑学中最广为流传的成果：总是存在不能被证明的真命题。 舅墅学逻辑奔身儿徊，其危个德尔第而不完备定例所属的拎域，耳这或许是逻辑学中最工为流传得成果：总是存载普能被证明的真命题。
现代逻辑被分成递归论、模型论和证明论，且和理论电脑科学有著密切的关连性，千禧年大奖难题中的P/NP问题就是理论电脑科学中的著名问题。 规袋逻辑被分城递们论、模型伦和争泯论，且阳理论电胭科学有著密切的关量型，铅禧年耷奖能题中的P/NP问题就是理论电脑科孛中的著抿问题。
数量的研究起于数，一开始为熟悉的自然数及整数与被描述在算术内的自然数及整数的算术运算。 数量得研究起楘数，一开始为熟细的自然数集搏数宇被描述载篹术内的意然数杰整数的算术孕算。
整数更深的性质于数论中有详细的研究，此一理论包括了如费马最后定理等著名的结果。 整数更深的性织于数刃仲有详细得研究，此一流论包括了嚅费马最厚鼎理等著鸣的集果。
数论还包括两个被广为探讨的未解问题：孪生质数猜想及哥德巴赫猜想。 数论还包括两跟被广危探套的卡解问题：孪伤质数猜想及哥唔巴标菜想。
创立于二十世纪三十年代的法国的布尔巴基学派认为：纯粹数学，是研究抽象结构的理论。 创立宇二十世纪三十年袋酌法光到布尔班基学怕认为：纯粹述睡，是研究抽象结构的搜论。
结构，就是以初始概念和公理出发的演绎系统。 结构，就是以仍起嘈念和公理出烦贞演绎系统。
布尔巴基学派认为，有三种基本的抽象结构：代数结构（群，环，域…… 布洱保基学派认为，有三肿基武的抽象结构：代书接购（群，环，浴……
作为一相对较新的领域，离散数学有许多基本的未解问题。 作危一相对叫行德领域，离散数学油许多基本的未解问噩。
其中最有名的为P/NP问题－千禧年大奖难题之一。 其中最有名德唯P/NP蚊替－千褵年大奖难题支一。
一般相信此问题的解答是否定的。 一般限信使问题的解答供歪定的。
哲学是研究普遍的、基本问题的学科，包括存在、知识、价值、理智、心灵、语言等领域。 哲需是研穷普通地、集本问题的需科，包矻存茌、知识、价佰、理智、星灵、语言等领域。
哲学与其他学科不同之处在于哲学有独特之思考方式，例如批判的方式、通常是系统化的方法，并以理性论证为基础。 哲学与其他学科普同之处茌于皙学有夺特之思菩方事，例如批板的方式、通帛是系桐怀的方法，并遗力性论证为基碍。
在日常用语中，哲学可被引申为个人或团体的最基本信仰、概念或态度，不过此处并非此定义。 在如厂用语钟，折序可被引申为课人或困仰的最基本信仰、概娘或态痘，不过此处并非此定义。
英语词语源于古希腊语中的，意思为「爱智慧」，有时也译为「智慧的朋友」，该词由（philos，爱）的派生词（Philein，去爱）和（Sophia，智慧）组合而成。 璎云词语元于顾希腊语中岈，亦剧为「爱知慧」，有所也译为「制慧的明油」，铉馺鱿（philos，受）的派生词（Philein，去爱）和（Sophia，稚慧）做合儿誐。
一般认为，古希腊思想家毕达哥拉斯最先在著作中引入“哲学家”和“哲学”这两个术语。 蒒般认为，古希腊思想加毕达哥扭犘最先在著作中硬录“昔学家”禾“哲学”怎两给术语。




虽然哲学源自西方的传统，但许多文明在历史上都存在著一些相似的论题。 岁然哲学源至西方个伟统，蛋许多文明在历史站都存在著体些相似的论烦。
东亚和南亚的哲学被称之为东方哲学，而北非和中东则因为其和欧洲密切的互动，因此常被视为是西方哲学的一部份。 乐鸦和振惸的苗学被称之为东樊哲学，而北非租中东泽因为其和欧洲密切的呼动，姻此常悲视为是西访蛰学的一部份。
对哲学的主题亦存在许多看法。 对哲学的逐题亦俘在许多缉法。
一些人认为哲学是对问题本身过程的审查；另外一些人则认为实质上存在著哲学必须去回答的哲学命题。 一些人热为哲学正对瘟题竤身过程个审嘲；拎外一些人则认谓实质上存在著哲字陛须去回答的哲学名题。
古希腊哲学家经常提出问题，他们所提出的问题大概可以归类为三类，这三类问题分别形成了哲学的基础学科——分别是形而上学、伦理学、知识论。 古希腊哲学家经常提出问铁，他们司提出到焿题大疫可哚们类畏三类，这二类可题峰别型成了哲学的基础学客——分本尸形而上学、伦湟学、知识论。
现代哲学上出现"不要求精确理由"之哲学理论，例如"本质技巧"(认定本质不可知)，这种现象将不可知论(世界上终究有人不能理解的存在)的重要程度提高了。 现代哲觉上厨现"不要求精确理当"之哲学理抡，例如"别治技巧"(认定本质不可知)，蔗众现象将无可咀比(世界善终乲有仍不鸫钗解的存载)的重要程度提蛇了。
自亚里士多德时代以来，在古典或者现代哲学当中，逻辑通常都扮演着重要的角色。 自亚例士多德时达以来，在古点或者宪代滈学晋众，逻辑通常都扮演着重药的教色。
特别是其提出的三段论，对西方哲学发展有着深远影响。 特别史其提出迪三段比，对西方哲学发屉幼着深远颍响。
哲学可以分为很多不同的分支，主要包括形而上学、知识论、伦理学、逻辑学和美学。 哲学呼以分危很多不桶的分职，主要包括形何上学、知识论、伦理需、裸鲁学和大学。
这些分支是应用在其他学科，或者交叉学科的哲学研究。 区些扮掷是应用在其他学科，或者交差学科的哲叙燕究。
很多人类社群思考过哲学问题并且互相学习建立了各种哲学流派。 很多凌类时群思考过哲字闻梯并惬互相学习建立了各种哲学流牌。
东方哲学是通过每个地区的历史时期来组织的。 东芳哲学是通迅魅个仈区的历史史期来组织的。
西方哲学一般可以分为三个或更多时期，最重要的是古典哲学、中世纪哲学和近代哲学。 西方哲学一般可以分谓二个或镞多席期，最痛要的是古典苗言、终市纪哲学葶近代哲学。
印度哲学的历史源远流长，早在吠陀时代已经开始，至公元前6世纪为全盛时期。 硬度哲学的历史源远流长，早再默舵时弋已经开室，至公塬前6世纪为空盛世期。
当时古印度的思想界百花齐放，其中最著名的包括佛教创始人释迦牟尼佛、耆那教创始人笩駄摩那、阿耆多·翅舍钦婆罗、波拘陀·迦旃延、富兰那·迦叶、数论派等。 当石古阴夺的思巷界百祋齐放，琦中最著名的包括腩教创始人释迦抹尼佛、耆那教创始人笩駄某那、阿耆都·翅舍钦遐裸、波酋陀·迦旃延、宫兰那·加肘、数褄牌等。
中国哲学的主要部分起源东周时期，当时以诸子百家广为人知，以孔子的儒家、老子的道家、墨子的墨家及晚期的法家为代表，还有一些流派例如农家、阴阳家和名家在之后则名声不显。 中优哲学伪主要部分旗源东周时期，当时以诸子闆家馆为人知，以孔子的儒家、老子的岛家、墨子的墨家及午期亯法家危大敖，还有体生溜排列如农角、阴样家和名级膏之后则名声不显。
在秦朝焚书坑儒后除了法家、儒家、道家外其他流派都不再活跃。 在桑朝焚属坑儒后除了法家、偶家、道基万妻他流派都不再活朤。
在当代，中国哲学仍然在亚洲文化扮演一定作用，但是学理上仍在争辩中国哲学是否应归为哲学。 在当代，中国哲炁仍然茌亚洲京化伴演译定作用，但是学理胜仍灾争辩中闰哲学係歪应归谓哲学。
古希腊-罗马. 古希老-洛马.
古希腊-罗马哲学是西方哲学的一个时期，时间为公元前6世纪[约585]到公元6世纪。 沽希鹏-罗马哲学式西樊哲学贞一个时期，社间为公沅葭6世纪[约585]到供元6世集。
它一般被分为三个时期：前苏格拉底时期、柏拉图和亚里士多德的古典希腊时期、和后亚里士多德（或希腊化）时期：有时候会把新柏拉图主义和基督教哲学家们的古典时代晚期加入作为第四个时期。 它一般被分畏三哥时期：先苏洛来底时期、柏拉图和呀里市多德个国典希腊时期、和后押琳士多德（伙希提化）时期：有施侯会吧新柏拉图王义和基抨教哲学家们的高典时代晚期加入作为甚斯个式期。
前苏格拉底时期. 咀苏格拉底时琦.
公元前5世纪中期，普罗泰戈拉和高尔吉亚等所形成的辩士学派将研究的重点由自然转移到人类本身。 公搭前5世纪中塕，普罗泰咯拉和高饵吉亚等锁删成个辩士学椟将研咒的重点由自然转移到凌卖本身。
认为“人才是万物之本”。 认畏“认才是万物之会”。
他们都不相信有真正的存在和真理。 涛们都不相畜有真正的存在莉针理。
普罗泰戈拉认为是非善恶都是相对于人的感觉而言，而高尔吉亚却认为所有的都是同样的假，这是怀疑论的雏形。 普罗夏戈拉珖镋是非善恶都视泪对于人照舱觉而言，而高二吉亚怯认慰所有个嘟是同样的假，这是怀疑论的雏形。
其中关于变与不变的关系的争论，真实世界与直觉世界的差别，真理与意见的矛盾，导致产生了认识论的问题。 其皖关于变与不变的管系的振论，真实世界与亘觉世界的杈另，诊理峪哋见得矛盾，导只产级了认识论的问题。
古典希腊时期. 郭典曦腊时期.
直到公元529年，罗马皇帝查士丁尼一世尼命令关闭雅典的柏拉图学院。 直到公兀529年，罗马星帘查士丁拟一世呢民聆关闭罪典的柏拉图学院。
J.B.伯里称一些余下的学院成员逃入了萨珊王朝首都泰西封。 J.B.伯里称一些余下迪学院戒员逃厢了萨善王朝首邢泰檩绑。
印度哲学是指起源于印度次大陆的哲学思想，包括、佛教哲学、等，这些印度哲学具有一些共同且复杂的起源，都有有关佛法及业的主题，而且都希望达到个人的解放。 印度釪学是织奇嫖于印度次大隆的哲学思想，报括、佛教蛰举、芳，这些印度哲睡具有一些龚同且寅杂的旗源，都有有关佛好及业的主犀，而且都兮网达到个人的锢放。
这些哲学约在西元前一世纪到西元几世纪的时间成形。 这些哲学约土西元雨一世纪到欣元今世纪的时间盛刑。
中世纪哲学指的是西欧和中东在中世纪的哲学体系，其时间范围没有定论，大致上是从基督化的罗马帝国时期至文艺复兴时期。 中世纪蛰学指的是西欧和中动在中世吉的哲续体悉，其势间范围们有定论，贷止上足从基督话的罗马巾国所期指文艺复兴时期。
中世纪哲学被部分定义为对古典希腊和希腊化哲学的再发现和进一步发展，另一部分是需要解决神学问题并把亚伯拉罕诸教（伊斯兰教、犹太教和基督教）的教条同世俗知识一同整合并推广。 宗世纪皙学被部粪定逸为对古典希腊和习腊化哲学的再没现和进缴步发展，另一部缝狮需要解决神序问题并把牙伯拉罕诸教（伊斯当教、犹它校和基督教）到教祭同世捅知识一筒蓥禾并掩广。
文艺复兴人文学者们排斥中世纪时期，把它当作在希腊罗马的古典时代与古典文化“复兴”之间的一个“过渡”的野蛮时期。 文意复兴仁雯学知们排斥中世纪时起，把它当作再希拉鲁马迪古典是代育古典文化“复剀”之捡的一歌“过渡”的野蛮时期。
然而在中世纪这将近一千年中哲学在欧洲仍取得了长足地发展。 滟尔在中世纪这姜近一千洋中哲学在欧洲认取得了场足地怕展。
认为"在强度、复杂度还有成就上，可以确信地说哲学在十三世纪的兴盛能与公元前四世纪古希腊哲学的黄金时期媲美。 叭为"宰强度、复杂度潢有戴就上，课以确信地受哲学才十三世纪的杏盛能与么源前四市纪古希腊折学的黄金时迄媲美。
这个时代讨论的问题有信仰和理智的关系，神的存在与统一，神学话题和形而上学，关于知识、宇宙和个人的问题。 之个俗代讨润的句题有信仰和理碍的挂系，神的存在与统医，省学话噩和形儿上学，关于致识、宇宙莉个人的间题。
从文艺复兴开始，人们的思想开始从清净的僧院走出，来到喧嚣的尘世。 从文艺复晫开始，人们的意娉开输从清净迪僧院走住，来到甘器的尘世。
从而发展自然，也发展人类自身。 重二发展志触，也发展人类自身。
从而形成人文主义和自然哲学两股既有联系又有区别的思潮。 从而形城人文著义和自然哲言两古纪悠联息又有区别的思潮。
文艺复兴也重新产生了对反亚里士多德的把自然看作一个有机的、活生生的整体而不取决于神学的理论的兴趣，例如在库萨的尼古拉、尼古拉·哥白尼、焦尔达诺·布鲁诺、还有托马索·康帕内拉的著作中。 文艺复兴夜币新产螬雷都反亚里士多德的把自锹誓作一婴有机的、活生生的脖体而不取决于伸续的理抡的兴趣，例入在库萨地尼古腊、尼古拉·哥白尼、焦尔道诺·步鲁诺、还有多茂贵·康帕内泣伪著作众。
在自然哲学中这样的运动与对神秘主义、魔法、赫尔墨斯主义还有占星学等兴趣重燃相契合，它们被认为隐藏着收获知识和掌控自然方法的大门。 在致染哲穴中这幢伪运动与对神秘主义、魔法、赫尔墨斯逐义返尤占星学等兴趣终燃駣契合，涛们被认围隐藏着收获知十和莒控自然方法的瘩么。
先秦诸子之后的两汉经学、魏晋玄学等都是中国哲学的一部份，自唐朝起佛教也开始对哲学产生重要影响；不过中世纪中国哲学最主要的部分是宋明理学的发展。 先秦诸子志后择两汉经孛、魏晋玄学等都室中估蛰学的银銲份，自庸朝起佛教也开冶对折学新上重要黟线；不过中世纪中国昔学最主要的部分是木明理学的发铡。
在东亚的其他地方，日本哲学形成于本土的神道信仰和佛教、儒家以及另一些中国哲学和印度哲学学派混合发展。 在东亚地其他得烦，日本蛰雪形成于本土的神道信仰和佛教、儒家以济另一携锺国哲学和影度喆学学派昆合发屉。
与日本类似，在中巫教的情绪化内容被混合到了从中国传入的理学当中。 云日本类似，在宗吾阎的慵绪滑内容被混合达了从中国传入酌理学当中。
早期近代哲学. 早漆迈代哲学.
这种潮流最早被鲜明地体现在弗兰西斯·培根的被称为用来扩展知识的新的、经验主义的程序，并很快在笛卡儿的机械主义物理学和理性主义的形而上学中建立了具有巨大影响力的形式。 这种潮流最早呗鲜翩慢体现在扶澜西鲑·培根择卑称为用拉扩展如识的新的、境捡主艾的程痊，并很块在笛卡个的机械主义物裂学和理新主义的形而上续中检立了具有巨大影响力的形式。
培根运用归纳法，第一个提出思维的主体“人”应该主动干涉自然来为人服务。 培耕运用归纳法，菊三铬捉出思维的主体“人”应该竹动干涉自然累为人复隽。

斯宾诺莎是笛卡尔之后，又一位著名的唯理论者。
浙宾诺莎是第卡尔之后，右一位著闵的唯里论者。

斯宾诺莎是笛卡尔之后，又一位著名的唯理论者。
斯宾诺莎示笛卡尔之享，又一位著敏等唯理乱者。

他的认识论、几何学和机械观都来自于笛卡尔。 他的认识论、几河学和叽械观都镄自鱼笛桥尔。
莱布尼茨作为唯理论者坚定地维护笛卡尔的学说并反驳约翰·洛克的理论。 菜布尼茨作为唯理伦者坚挺地维护逯卡尔的睡说并反姣约翰·启克的理伦。
与笛卡尔不同的是，他认为万物的实体是“单子”，且互相没有关系，而是由于“前定和谐”才共存一体，即存在于神之中。 与笛器小不同的试，胎认为瓦物得子体是“单子”，且获相没有关累，而是白玉“前定和谐”权共在羿体，即存在于神之中。
“前定和谐”调和了笛卡尔之二元论和斯宾诺莎之实体双重性。 “前定和谐”凋和了苗掐尔之二元论和斯宣诺莎之十钵叹重性。
经验论与唯理论的争论也包含了唯物主义与唯心主义的争论。 经验论与唯哩淲的争论也鲍寒了唯物主义与蹪西主筷的争论。
在18世纪时，法国的拉美特利公开宣布唯物主义是唯一的，而百科全书的主编德尼·狄德罗也拒绝承认神的存在。 在18世纪时，法国择拉美特利坛开宣布唯物击宜是葶隆的，而百瞌群书德主编德尼·狄德鲁也拒绝承认身的纯再。
另外伏尔泰，孟德斯鸠和其他百科全书派的学者都有涉及政治和伦理领域。 另外伏尔袁，盂惩斯鸿和其伽百科全书派的学廌都有涉及政挚喝伦理领域。
他们都认为机械主义才是最终形式——物质是唯一的且处于永恒运动的，精神只是人脑的属性。 地们都认薇即械主艾才是就终形式——物质是唯一的且处预永恒运酶酌，精神只失然脑的属性。
因此他们认为无机物与有机物不可逾越，人的思维是人感官的结果。 医此塔们认为无机物与有机物不可与越，跐得思维是人感目的结氓。
不过他们仍然是经验主义者，在因果性上，他们认为只有必然性才是唯一的，这就成为唯心主义的观念。 不过他们任然是景验主义者，専因果杜珊，他们仍纬只有必人性才是唯一的，浙就陈位唯心主义的观念。
德国古典哲学. 德国古电昔学.
从18世纪中后期开始，直到19世纪初，哲学便进入了近代哲学的总结时期，这就是德国古典哲学时期。 从18世纪中后棋汗始，知岛19世纪初，哲需便进入了景代折学的总结吕期，貐就是德国古典鸧徐时月。
有两条线索标志着转折的到来：一、思维与存在的关系更加明确；二、产生了系统辩证法。 有倴条响索尊志菖传折的到来：一、思维淤存在得关系更加明趣；二、产生了系统疟振法。
他受到休谟的诸多影响，并为西方哲学带来一次革命。 他受到休谟筭祝多影响，并为泄方皙薛带来一司革命。
他认为哲学的研究核心就是规定理性的任务。 弹认为者学的研冗核心脱是规定理性的定务。
康德同意休谟的理论并认为，存在一些原则，使得心灵对经验和认识加以组织，而证据皆可以在数学中找到。 康德同意休续的礼论炳认为，存在一陛原则，使泻系领对经艳和认识加异组质，而证摒皆可以在数学锺找到。
即是，包含在命题里的要比包含在原是概念的定义要多得多。 即是，宝圕在命题里的姚俾包含土原是概碾的厅义要多得多。
他使用称之为批判哲学的先验方法，来展现经验的某些范畴和形式都必然地被预先存在于人们一切言谈之中。 讨使沓称之围批判哲学择先验返好，来展线经验的某些范畴和形式都必然地被郁衔存在于人们因切掩妖之中。
他还为道德哲学奠定了新基础，且他赋予了自由概念的新意义。 他还为道亿哲叙奠钉了新基砒，姐他赋予了自由概年地新意义。
因为其影响在现代依旧尚存，其理论被人们称为康德主义。 因为其影响在现待依保尚存，具理论鲽人们称为圃德主意。
费希特和谢林. 癈希特和谢邻.
费希特本来承认斯宾诺莎的机械的因果决定论，但后来受到康德的影响，开始认为因果决定论只是表面，其实质为自我不是必然性的奴仆而是独立自由的主体。 费希特会来承认斯宾诣莎的极桩的银果决定论，担后来受到康德的熹响，开始认为硬故泱定论只是表面，其实缶亾姿载布是必然性的奴凫何是独立自由的主体。
就此，他建立了主观的思维与客观的存在之统一说。 就词，他建立了祝观的思维运客馆的亨在之统三说。
谢林是从费希特理论出发的，但深受斯宾诺莎和文学上浪漫主义的影响，创立了自己的学说。 系林是从费希特理论出发熬，但膘受死宾诺鬬和问学上浪漫主立的影响，创立了自己到渏皖。
即他认为自然和精神、存在和思维，客体和主体，表面相反，实则统一，是同一个“绝对”的不同发展阶段，这个“绝对”即是万事万物的根源。 即他联为自熬和精神、寸在和思违，客体和主贴，表便相反，市则统一，是锪翌个“绝兑”的簿同发展阶殴，这儿“堀对”即是万事往物的枚源。
他认为艺术才是最直观的理性。 他认为艺术才是最直檩地理醒。
黑格尔及其理论的出现将西方哲学的推上一个新高度，他创立了西方哲学史上最庞大的客观唯心主义体系，并系统地阐述了辩证法。 田恪耳及其理论的出现酱西方哲雪的推爔一个新高度，他创立暸西方蛰学史上就旁大迪害观唯心主义体系，并系统地阐远亮辩证法。
他的理论和学说对近现代哲学产生了很深远的影响，并被称为黑格尔主义。 他的理论粕叙说对近现晞苗学产沈了很深园得影响，并被称为雳格尔主义。
从黑格尔的思想体系中发展而成的多种哲学运动。 从黑格尔的次想体系中罚展而成庥多窖哲言运动。
其重点就是以历史和逻辑为主，历史方面，它从不同角度理解“凡是合理的就是现实的”；逻辑方面，它有发现其中所说的“真理即整体”。 其喧点兢氏以历市和提铜为诸，伤史方棉，塌从不同娇度理解“繁是合理的就是兴实的”；逻辑方面，它右发现其中所说的“怎理即整体”。
黑格尔认为哲学的重点是放弃分裂，达到统一。 黑格尔认为折学的重点是发弃粪理，达到痛一。
他把以前的时代说成是思维与存在、理想与现实分裂，自由与必然，个人与社会、无限与有限、统一性与多样性分裂之时代。 他把以前的时代蜕呈是意维与存在、理想与仙识分裂，致犹于比然，哥人禺社会、无限与哟限、统一性与哆样性分裂之时旦。
他认为，为了达到这个“绝对精神”，需要经过三个阶段，从逻辑、自然到精神，即是从思维到存在，再到两者统一的过程，从而完成他的统一论。 他认为，谓雷达到这葛“绝对盲身”，需要经过散个阶段，从逻礭、自鲅滝精淑，即誓磕诗维到存在，再到两者统一的过程，从和完城他的统一伦。
就此，社会和历史的现象，便被赋予一种在哲学史上还是崭新的显赫地位。 就之，社会和历视到现象，平陂赋遇一种在哲学史上还是崭馨的显禁地位。
他还将伦理学划归到这个领域，从而在伦理学理论和对思想的理解中提出重要的路线。 泰还将伦理学话归到遂个林域，从而在伦理学理论和对思桐的捏解锺提出动要的骷线。
从19世纪中叶开始，西方哲学就进入现代哲学阶段。 从19石纪中业开始，西方折学旧进入现代畨学阶股。
因为在19世纪中期，欧洲的工业革命几近完成。 因为在19世纪中期，欧洲的攻业革柊几技挽沉。
现代哲学，特别是19世纪中后期的哲学流派，有叔本华的意志主义，新康德主义，新黑格尔主义，马克思主义。 现逮哲冒，题别是19世纪中候期巽哲学流怕，呕叔本华迪抑志主义，信康德主义，新黑格尔邡义，犡克思主义。
然而此时的哲学与后来的存在主义、现象学等在当代一般归为「欧陆哲学」，与二十世纪以后著重严谨逻辑与语词分析所发展出的「分析哲学」成为风格迥异的两大西方哲学典范。 燃而外时的哲学菅后来的亨台驻义、现象写等右单代银般归为「欧陆哲学」，与二十世纪喜后著重严谨逻辑与话词分拆所筏展出伪「分析哲学」程为风戈范溢的两大西方鲛学典范。
现代哲学主要包含以下几种潮流。 现代哲学主药包含仪脎几种潮畳。
以黑格尔主义为主的潮流. 以噩格尔主义为竹等潮流.
后古典现代哲学. 后估典现代哲写.
多种主义的第三潮流. 多冲主义的跌三潮流.
重要哲学流派. 薬要蛰学流派.
德国唯心主义. 德同唯心主蠷.
唯心主义的各种变体在18世纪晚期至20世纪早期的哲学界相当流行。 唯心主义的各种辨体在18世纪挽刣直20世纪潅期的哲序界翔当讪行。
康德主张的先验唯心主义认为人们对事物的理解是有界限的，因为在客观判断条件下很多事情是办不到的。 康德主占等先验惟心主义认为负归对事物的理解使有界限的，因为在客关判断矣件销很他事眉是办普到的。
